Date	Steps (Oura)	Activity Burn (Cal) (Oura)	Walking Equiv. (Mi) (Oura)	Heart Points (GFit)	Steps (GFit)	Notes
2022-01-01	11,520	616	7.3	48	10,050	
2022-01-02	21,296	1,023	12.2	143	17,187	
2022-01-03	13,615	661	7.6	88	10,258	
2022-01-04	17,404	924	10.6	149	15,936	
2022-01-05	10,659	479	5.7	44	6,975	
2022-01-06	17,682	951	10.5	134	15,774	
2022-01-07	13,634	643	7.0	88	10,313	
2022-01-08	14,741	751	9.4	84	12,544	
2022-01-09	11,895	635	7.7	53	11,297	
2022-01-10	10,676	491	5.6	51	5,204	
2022-01-11	10,788	716	8.5	83	6,421	
2022-01-12	14,838	915	11.0	67	8,661	
2022-01-13	15,288	882	10.0	62	7,793	
2022-01-14	10,469	607	6.8	69	4,325	
2022-01-15	14,442	703	9.2	53	11,532	
2022-01-16	21,943	1,118	13.7	159	20,990	
2022-01-17	15,759	795	9.9	55	13,588	
2022-01-18	19,850	1,171	13.8	144	20,042	
2022-01-19	10,649	476	5.9	40	8,661	
2022-01-20	6,245	254	2.8	7	4,550	COVID
2022-01-21	6,739	265	3.4	9	3,596	COVID
2022-01-22	7,397	299	3.8	13	5,792	COVID
2022-01-23	4,082	187	2.2	0	1,090	COVID
2022-01-24	3,590	157	1.8	0	1,925	COVID
2022-01-25	3,573	142	1.7	7	3,511	COVID
2022-01-26	5,791	242	3.0	5	3,218	COVID
2022-01-27	10,556	437	5.6	9	6,017	COVID
2022-01-28	11,763	471	5.9	46	7,592	COVID
2022-01-29	7,908	404	5.1	14	5,031	COVID
2022-01-30	7,531	407	5.0	12	6,116	COVID
2022-01-31	3,908	177	1.9	0	822	COVID
2022-02-01	6,162	262	3.1	6	3,966	COVID
2022-02-02	5,792	243	2.7	0	369	
2022-02-03	12,047	486	6.0	30	8,570	
2022-02-04	7,093	288	3.3	2	3,375	
2022-02-05	13,525	549	7.0	64	9,040	
2022-02-06	17,522	833	10.6	54	12,943	
2022-02-07	12,140	546	6.3	62	9,863	
2022-02-08	9,078	446	5.0	26	5,741	
2022-02-09	20,297	930	10.8	123	17,394	
2022-02-10	12,854	625	7.1	46	8,581	
2022-02-11	10,959	573	6.6	47	7,240	
2022-02-12	20,745	1,164	14.2	120	15,753	
2022-02-13	13,019	660	8.0	47	11,041	
2022-02-14	12,604	629	7.2	64	7,125	
2022-02-15	13,439	731	8.5	71	9,144	
2022-02-16	13,306	840	9.5	51	6,140	
2022-02-17	13,105	739	8.6	64	5,664	
